749:  (5)103100, -1: 
750:  (5)012110, 2:  (6)012210
751:  (5)102110, 3:  (6)112110
752:  (5)112010, 3:  (6)112110
753:  (5)113000, -1: 
754:  (5)013100, -1: 
755:  (5)003110, -1: 
756:  (5)101210, 5:  (6)101220
757:  (5)110300, -1: 
758:  (5)011210, 2:  (6)012210
759:  (5)101300, -1: 
760:  (5)010310, -1: 
761:  (5)100310, -1: 
762:  (5)110210, 9:  (6)111210
763:  (5)111200, 9:  (6)111210
764:  (5)011300, -1: 
765:  (5)001310, -1: 
766:  (5)110300, -1: 
767:  (5)101300, -1: 
768:  (5)010310, -1: 
769:  (5)100310, -1: 
770:  (5)011300, -1: 
771:  (5)001310, -1: 
772:  (5)101210, 5:  (6)101220
773:  (5)110300, -1: 
774:  (5)011210, 2:  (6)012210
775:  (5)101300, -1: 
776:  (5)010310, -1: 
777:  (5)100310, -1: 
778:  (5)110210, 9:  (6)111210
779:  (5)111200, 9:  (6)111210
780:  (5)011300, -1: 
781:  (5)001310, -1: 
782:  (5)101210, 5:  (6)101220
783:  (5)110300, -1: 
784:  (5)011210, 2:  (6)012210
785:  (5)101300, -1: 
786:  (5)010310, -1: 
787:  (5)100310, -1: 
788:  (5)110210, 9:  (6)111210
789:  (5)111200, 9:  (6)111210
790:  (5)011300, -1: 
791:  (5)001310, -1: 
792:  (5)110300, -1: 
793:  (5)101300, -1: 
794:  (5)010310, -1: 
795:  (5)100310, -1: 
796:  (5)011300, -1: 
797:  (5)001310, -1: 
798:  (5)101210, 5:  (6)101220
799:  (5)110300, -1: 
800:  (5)011210, 2:  (6)012210
801:  (5)101300, -1: 
802:  (5)010310, -1: 
803:  (5)100310, -1: 
804:  (5)110210, 9:  (6)111210
805:  (5)111200, 9:  (6)111210
806:  (5)011300, -1: 
807:  (5)001310, -1: 
808:  (5)110300, -1: 
809:  (5)101300, -1: 
810:  (5)010310, -1: 
811:  (5)100310, -1: 
812:  (5)011300, -1: 
813:  (5)001310, -1: 
814:  (5)121010, 63:  (6)121110
815:  (5)130100, -1: 
816:  (5)031010, -1: 
817:  (5)121100, 62:  (6)122100
818:  (5)030110, -1: 
819:  (5)120110, 63:  (6)121110
820:  (5)130010, -1: 
821:  (5)131000, -1: 
822:  (5)031100, -1: 
823:  (5)021110, 63:  (6)121110
824:  (5)121010, 63:  (6)121110
825:  (5)130100, -1: 
826:  (5)031010, -1: 
827:  (5)121100, 62:  (6)122100
828:  (5)030110, -1: 
829:  (5)120110, 63:  (6)121110
830:  (5)130010, -1: 
831:  (5)131000, -1: 
832:  (5)031100, -1: 
833:  (5)021110, 63:  (6)121110
834:  (5)130100, -1: 
835:  (5)031010, -1: 
836:  (5)030110, -1: 
837:  (5)130010, -1: 
838:  (5)131000, -1: 
839:  (5)031100, -1: 
840:  (5)121010, 63:  (6)121110
841:  (5)130100, -1: 
842:  (5)031010, -1: 
843:  (5)121100, 62:  (6)122100
844:  (5)030110, -1: 
845:  (5)120110, 63:  (6)121110
846:  (5)130010, -1: 
847:  (5)131000, -1: 
848:  (5)031100, -1: 
849:  (5)021110, 63:  (6)121110
850:  (5)130100, -1: 
851:  (5)031010, -1: 
852:  (5)030110, -1: 
853:  (5)130010, -1: 
854:  (5)131000, -1: 
855:  (5)031100, -1: 
